,Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL,Unusual
11071,2:30,6ALTE,3.483,0.697,0.238,0.03,16.607,0.424,0.995,0.01,3.0,2.0,5,1
22705,4:00,6CLTE,2.627,0.505,0.211,0.012,21.597,0.642,1.031,0.01,3.0,2.0,5,0
19502,6:45,3CLTE,1.493,0.498,0.07,0.01,4.549,0.381,1.005,0.995,3.0,1.0,4,1
23050,0:30,4CLTE,15.423,2.786,0.68,0.076,15.085,0.937,1.284,1.134,6.0,4.0,10,1
31600,23:30,7ULTE,0.505,1.415,0.128,0.02,8.8,0.458,1.071,0.01,3.0,2.0,5,0
18056,4:30,6WLTE,0.101,0.909,0.063,0.013,1.942,0.224,1.041,0.01,2.0,2.0,4,0
9816,3:15,3BLTE,5.274,2.189,0.873,0.033,51.655,0.406,1.055,1.005,4.0,2.0,6,1
5977,6:30,6BLTE,6.77,1.213,0.385,0.04,28.132,0.68,1.051,0.01,3.0,3.0,6,0
26429,3:45,8ALTE,4.446,0.808,0.352,0.031,8.255,0.648,1.081,1.021,3.0,3.0,6,0
4887,20:00,6ULTE,1.617,2.425,0.323,0.05,8.784,1.025,1.304,0.01,6.0,3.0,9,0
15080,0:00,6WLTE,1.493,2.985,0.421,0.048,12.45,0.524,1.224,0.01,5.0,4.0,9,1
4556,6:00,1CLTE,11.52,0.808,0.18,0.03,11.065,1.448,1.091,1.021,4.0,2.0,6,0
14862,21:30,3ALTE,10.105,2.223,0.409,0.043,9.062,0.384,1.152,1.071,4.0,4.0,8,0
2797,13:15,3ALTE,31.73,5.659,1.765,0.21,49.793,3.437,2.021,1.394,8.0,7.0,15,0
3106,10:15,5ALTE,3.781,0.697,0.1,0.02,6.253,1.248,1.035,1.035,3.0,2.0,5,1
3391,10:00,7ALTE,0.1,0.597,0.331,0.02,13.055,0.291,1.045,0.01,3.0,2.0,5,1
19175,14:00,3BLTE,10.945,1.99,0.408,0.057,10.657,0.61,1.154,1.085,4.0,4.0,8,1
7970,18:00,4ALTE,5.871,1.891,0.643,0.055,31.9,1.322,1.124,1.025,4.0,3.0,7,1
8198,4:30,1CLTE,14.349,0.505,0.031,0.015,2.455,0.272,1.051,1.021,3.0,2.0,5,0
4449,22:45,7ULTE,1.112,2.829,0.543,0.053,29.837,0.93,1.202,0.01,5.0,3.0,8,0
19271,10:00,10ALTE,6.965,0.896,0.192,0.022,13.561,0.415,1.055,1.015,4.0,3.0,7,1
20262,7:30,3BLTE,8.69,1.112,0.284,0.05,6.14,0.629,1.213,1.051,6.0,4.0,10,0
27219,21:15,7WLTE,7.363,6.667,0.631,0.218,13.48,1.187,1.363,0.01,6.0,4.0,10,1
10500,8:00,7CLTE,0.202,0.808,0.615,0.059,45.744,2.02,1.101,0.01,3.0,2.0,5,0
18309,18:45,5BLTE,9.154,0.896,0.176,0.024,11.459,0.549,1.075,1.015,4.0,3.0,7,1
10379,13:00,6VLTE,1.011,2.425,0.194,0.035,8.807,0.651,1.172,0.01,6.0,3.0,9,0
24699,11:00,1ALTE,11.343,1.493,0.393,0.055,13.948,1.547,1.164,1.055,4.0,4.0,8,1
25408,4:00,5CLTE,3.881,0.498,0.096,0.013,4.526,0.131,1.025,0.995,3.0,2.0,5,1
15038,2:30,2ALTE,0.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17643,17:30,1CLTE,35.223,8.358,3.4,0.229,35.545,1.647,2.0,1.731,10.0,8.0,18,1
25343,4:00,8ALTE,4.776,0.796,0.134,0.026,4.297,0.296,1.075,1.015,4.0,3.0,7,1
10208,7:15,1BLTE,5.154,0.707,0.142,0.018,9.184,0.38,1.081,1.011,3.0,2.0,5,0
15234,0:30,1CLTE,22.736,2.829,0.884,0.094,16.306,4.147,1.324,1.172,5.0,5.0,10,0
4152,6:30,7ULTE,0.101,0.808,0.021,0.008,0.425,0.051,1.011,0.01,2.0,2.0,4,0
4709,7:45,6VLTE,0.697,1.493,0.284,0.036,10.477,0.663,1.045,0.01,4.0,3.0,7,1
32514,2:15,7ALTE,0.101,0.505,0.077,0.01,2.515,0.15,1.041,0.01,3.0,2.0,5,0
8946,10:30,5CLTE,24.656,4.648,1.631,0.164,44.175,10.548,1.506,1.172,8.0,5.0,13,0
29535,16:00,7BLTE,0.505,2.122,0.785,0.066,54.682,1.325,1.394,0.01,6.0,3.0,9,0
20870,13:45,9BLTE,2.324,0.505,0.023,0.011,0.903,0.234,1.041,1.011,3.0,2.0,5,0
23137,23:45,7WLTE,0.398,1.095,0.152,0.027,6.663,0.865,1.035,0.01,3.0,2.0,5,1
34501,18:15,8CLTE,3.682,0.796,0.214,0.026,14.624,2.04,1.035,1.005,3.0,2.0,5,1
613,17:15,5BLTE,9.055,1.194,0.185,0.043,7.728,0.538,1.154,1.035,5.0,3.0,8,1
4064,2:30,3BLTE,4.648,1.314,0.741,0.163,38.867,17.97,1.081,1.031,3.0,3.0,6,0
336,13:30,3ALTE,31.427,7.882,2.314,0.199,59.703,2.266,1.859,1.586,9.0,7.0,16,0
7155,7:00,2ALTE,0.1,0.398,0.101,0.023,2.677,0.172,0.995,0.01,1.0,1.0,2,1
25201,8:30,4CLTE,9.552,1.692,0.47,0.049,35.881,1.83,1.154,1.045,4.0,4.0,8,1
5796,0:45,6VLTE,1.516,2.627,0.317,0.039,21.029,1.974,1.263,0.01,5.0,4.0,9,0
28290,3:45,3ALTE,1.92,0.606,0.194,0.014,2.35,0.155,1.021,1.011,2.0,2.0,4,0
8148,16:00,6BLTE,18.492,2.122,0.441,0.043,22.74,1.033,1.172,0.01,6.0,4.0,10,0
8990,3:30,5CLTE,3.032,0.505,0.017,0.006,3.205,0.172,1.021,1.011,2.0,1.0,3,0
13088,10:15,9ALTE,2.388,0.498,0.1,0.018,2.26,0.244,1.035,0.995,3.0,2.0,5,1
35407,2:15,6CLTE,2.829,0.505,0.067,0.014,2.5,0.174,1.031,0.01,2.0,2.0,4,0
21137,7:30,10CLTE,4.042,3.234,0.393,0.023,5.661,0.302,1.041,1.021,3.0,2.0,5,0
36330,17:45,6CLTE,6.568,1.112,0.701,0.053,48.467,1.742,1.142,0.01,6.0,3.0,9,0
32893,19:30,8ALTE,15.721,1.493,0.429,0.056,11.498,0.858,1.184,1.025,5.0,3.0,8,1
19242,17:15,6ALTE,11.014,1.819,0.615,0.063,24.528,1.001,1.172,0.01,5.0,3.0,8,0
8472,22:15,3BLTE,6.77,1.213,0.177,0.028,5.979,0.453,1.091,1.061,3.0,3.0,6,0
18470,9:45,7CLTE,0.0,0.0,0.969,0.036,97.667,0.485,1.162,0.01,5.0,3.0,8,0
14382,0:45,8ALTE,10.711,2.021,0.528,0.066,33.742,2.729,1.182,1.031,5.0,4.0,9,0
34005,18:15,3CLTE,4.776,0.896,0.22,0.033,15.808,0.824,1.055,1.005,3.0,3.0,6,1
3389,23:45,6ALTE,5.861,1.718,0.64,0.045,47.673,1.196,1.112,0.01,4.0,3.0,7,0
3234,1:30,1ALTE,4.85,1.112,0.432,0.03,27.327,0.732,1.081,1.031,4.0,3.0,7,0
32501,9:30,6ULTE,2.223,3.941,1.11,0.089,22.12,0.733,1.394,0.01,6.0,4.0,10,0
2769,7:00,8CLTE,1.415,0.505,0.145,0.024,6.266,0.555,1.031,1.011,3.0,2.0,5,0
32507,2:15,6CLTE,2.324,0.505,0.074,0.012,8.11,0.191,1.031,0.01,2.0,2.0,4,0
13841,9:45,7ALTE,0.404,1.112,0.338,0.053,43.219,2.24,1.182,0.01,4.0,3.0,7,0
29587,14:15,4BLTE,20.099,2.289,0.457,0.077,13.6,0.919,1.333,1.154,7.0,5.0,12,1
19868,5:15,8ALTE,5.473,1.493,0.949,0.043,89.406,1.498,1.065,1.015,3.0,3.0,6,1
4562,5:30,8BLTE,0.707,0.404,0.05,0.009,1.989,0.137,1.011,1.011,2.0,1.0,3,0
34378,14:45,7CLTE,0.1,0.498,0.175,0.021,8.619,0.274,1.075,0.01,4.0,2.0,6,1
21630,6:30,4CLTE,8.488,1.718,0.684,0.029,23.275,0.399,1.061,1.031,3.0,2.0,5,0
16907,6:45,5BLTE,6.368,0.995,0.368,0.032,21.419,0.761,1.035,1.005,3.0,2.0,5,1
30592,11:45,10CLTE,5.473,0.697,0.156,0.028,5.506,0.39,1.075,1.015,4.0,3.0,7,1
3697,13:30,3BLTE,20.614,2.122,0.522,0.064,25.309,0.828,1.324,1.213,6.0,5.0,11,0
18269,1:00,5ALTE,4.042,3.032,1.625,0.058,29.176,0.503,1.031,1.021,2.0,2.0,4,0
14759,0:15,6BLTE,17.987,9.196,4.693,0.543,71.247,44.971,1.243,0.01,5.0,4.0,9,0
11717,12:45,9ALTE,9.254,1.095,0.326,0.062,5.447,1.451,1.124,1.035,4.0,4.0,8,1
1370,15:00,6CLTE,9.499,1.112,0.438,0.1,50.852,8.391,1.142,0.01,4.0,3.0,7,0
23075,22:45,6BLTE,25.667,2.223,0.623,0.099,12.544,1.155,1.314,0.01,6.0,5.0,11,0
6419,22:00,5BLTE,12.53,1.718,0.213,0.033,5.224,0.486,1.162,1.162,5.0,5.0,10,0
1432,1:15,6BLTE,13.137,9.297,5.089,0.593,56.485,43.991,1.101,0.01,4.0,4.0,8,0
35439,17:00,3BLTE,22.332,4.244,1.455,0.104,23.682,0.862,1.394,1.202,6.0,5.0,11,0
36258,20:00,8BLTE,13.035,2.189,0.681,0.054,21.629,1.935,1.204,1.055,5.0,4.0,9,1
18313,20:30,10ALTE,11.621,3.941,1.691,0.058,25.514,0.365,1.162,1.071,4.0,4.0,8,0
19871,10:15,1ALTE,9.154,0.896,0.248,0.045,14.306,1.559,1.095,1.015,5.0,3.0,8,1
5432,20:45,6VLTE,2.526,4.547,0.535,0.084,12.17,5.277,1.324,0.01,5.0,4.0,9,0
25010,9:15,7ULTE,0.796,1.99,0.275,0.027,7.244,0.455,1.095,0.01,4.0,3.0,7,1
9781,9:45,3CLTE,12.631,3.234,1.026,0.08,27.581,0.644,1.223,1.091,5.0,4.0,9,0
456,4:15,1BLTE,3.638,0.909,0.276,0.023,13.501,0.375,1.021,1.011,2.0,2.0,4,0
27022,20:30,3CLTE,4.776,0.597,0.098,0.02,2.357,0.374,1.055,1.005,4.0,3.0,7,1
8918,12:00,8BLTE,22.029,3.335,0.836,0.119,22.129,0.855,1.536,1.283,7.0,5.0,12,0
31622,18:30,1ALTE,22.231,3.032,1.233,0.116,64.205,1.392,1.425,1.101,6.0,5.0,11,0
4432,11:30,5CLTE,23.14,6.366,1.08,0.113,23.454,1.89,1.475,1.172,7.0,5.0,12,0
4743,12:00,1BLTE,20.513,2.324,0.872,0.19,15.466,3.203,1.394,1.112,6.0,4.0,10,0
16295,11:00,5BLTE,11.343,1.194,0.457,0.058,30.013,0.629,1.154,1.025,5.0,3.0,8,1
1496,10:45,9ALTE,22.231,3.234,1.021,0.107,31.912,0.839,1.435,1.223,7.0,5.0,12,0
32802,11:00,7ALTE,0.199,0.796,0.163,0.031,11.031,0.292,1.085,0.01,3.0,2.0,5,1
26398,10:30,6VLTE,1.393,3.781,0.604,0.046,11.264,0.631,1.144,0.01,4.0,3.0,7,1
19900,11:15,8BLTE,20.816,3.638,1.068,0.106,22.112,0.713,1.475,1.142,6.0,5.0,11,0
12866,9:15,3CLTE,12.025,2.425,0.631,0.069,17.602,0.478,1.384,1.071,6.0,3.0,9,0
11120,7:15,4CLTE,6.269,0.597,0.054,0.018,2.138,0.353,1.035,1.005,3.0,2.0,5,1
1915,15:00,6BLTE,18.997,2.021,0.524,0.043,21.564,0.429,1.182,0.01,5.0,3.0,8,0
1438,4:15,1ALTE,3.739,0.808,0.179,0.036,4.19,0.647,1.041,1.011,3.0,2.0,5,0
8330,11:15,4CLTE,12.833,1.718,0.303,0.042,11.889,4.465,1.213,1.192,5.0,4.0,9,0
2270,8:45,7WLTE,1.516,2.627,0.459,0.063,19.089,0.942,1.233,0.01,4.0,3.0,7,0
28246,9:15,3ALTE,27.991,3.638,0.809,0.206,22.097,3.824,1.506,1.283,6.0,5.0,11,0
29986,23:45,8ALTE,15.36,2.021,0.578,0.069,17.75,0.596,1.304,1.091,6.0,4.0,10,0
36320,21:00,7ULTE,1.112,2.324,0.24,0.044,8.429,1.024,1.253,0.01,5.0,3.0,8,0
18842,23:15,4ALTE,6.467,1.415,0.314,0.031,9.234,0.39,1.061,1.051,3.0,3.0,6,0
36444,9:45,2ALTE,1.213,0.404,0.008,0.009,0.122,0.074,1.011,0.01,2.0,2.0,4,0
24054,18:45,4ALTE,8.387,1.516,0.411,0.049,33.091,0.557,1.162,1.051,5.0,3.0,8,0
19938,4:45,4CLTE,2.728,0.505,0.054,0.012,2.652,0.129,1.031,1.011,2.0,2.0,4,0
756,7:45,3BLTE,8.993,1.213,0.259,0.028,11.303,0.463,1.091,1.031,3.0,3.0,6,0
33534,12:15,7WLTE,0.896,1.294,0.132,0.028,5.289,1.485,1.095,0.01,5.0,3.0,8,1
2796,18:00,5CLTE,22.029,3.941,1.053,0.116,29.446,1.426,1.465,1.304,7.0,5.0,12,0
11851,1:30,6VLTE,0.707,1.112,0.055,0.015,1.841,0.292,1.071,0.01,3.0,2.0,5,0
9693,18:00,10CLTE,6.366,0.909,0.174,0.019,9.157,0.242,1.061,1.031,3.0,3.0,6,0
24227,16:15,7ALTE,0.707,1.92,0.507,0.081,12.564,8.286,1.324,0.01,5.0,3.0,8,0
25270,12:30,1BLTE,9.552,1.194,0.256,0.043,14.015,2.604,1.104,1.015,4.0,3.0,7,1
32133,10:00,1BLTE,14.328,1.493,0.453,0.065,30.892,0.695,1.214,1.035,5.0,4.0,9,1
15946,1:15,10BLTE,0.909,0.404,0.076,0.01,2.302,0.134,1.031,1.011,2.0,1.0,3,0
17613,21:00,1BLTE,19.402,4.951,1.207,0.112,25.772,0.972,1.465,1.182,7.0,5.0,12,0
22073,22:00,8CLTE,2.122,0.707,0.308,0.019,13.412,0.251,1.031,1.011,2.0,2.0,4,0
1549,12:15,7ALTE,0.404,1.819,0.4,0.038,11.423,0.664,1.304,0.01,5.0,3.0,8,0
1156,15:30,8CLTE,7.882,1.112,0.341,0.038,14.26,0.832,1.112,1.031,4.0,2.0,6,0
14018,2:00,8ALTE,6.568,1.819,0.743,0.056,36.61,1.978,1.101,1.031,4.0,3.0,7,0
12360,10:45,3BLTE,10.149,1.095,0.383,0.038,25.618,1.139,1.114,1.035,4.0,3.0,7,1
25157,6:15,10ALTE,1.791,0.697,0.265,0.024,6.551,0.309,1.005,0.995,2.0,2.0,4,1
6249,15:15,10CLTE,5.672,0.995,0.206,0.034,5.16,0.546,1.085,1.005,5.0,3.0,8,1
15286,23:00,4BLTE,13.238,2.223,0.535,0.063,23.329,1.67,1.243,1.061,5.0,3.0,8,0
21914,3:00,1BLTE,10.149,2.886,1.185,0.084,44.181,0.965,1.224,1.045,5.0,4.0,9,1
29211,20:30,4CLTE,18.088,1.92,0.62,0.072,23.882,0.669,1.233,1.182,5.0,5.0,10,0
13174,10:00,5BLTE,8.756,0.697,0.14,0.022,9.712,0.407,1.065,1.005,4.0,3.0,7,1
3658,1:30,8CLTE,9.353,0.896,0.257,0.086,10.164,8.823,1.154,1.015,5.0,3.0,8,1
8111,11:00,1CLTE,23.646,2.728,0.787,0.103,36.982,3.645,1.405,1.304,7.0,5.0,12,0
24841,9:30,10CLTE,3.582,0.597,0.086,0.011,4.782,0.154,1.005,1.005,2.0,2.0,4,1
17372,23:45,5BLTE,8.69,1.011,0.084,0.016,3.355,0.204,1.091,1.081,4.0,3.0,7,0
8185,23:15,1CLTE,26.677,2.93,1.096,0.123,35.876,1.071,1.556,1.223,7.0,5.0,12,0
22318,0:00,6WLTE,0.606,1.213,0.174,0.029,4.119,0.66,1.091,0.01,5.0,3.0,8,0
28400,0:30,7WLTE,0.606,1.819,0.401,0.033,22.267,0.583,1.132,0.01,4.0,3.0,7,0
20095,2:15,6ULTE,0.909,1.213,0.118,0.036,3.036,0.333,1.071,0.01,3.0,3.0,6,0
10544,13:45,1CLTE,35.772,6.467,1.77,0.175,39.768,1.08,1.93,2.041,9.0,10.0,19,0
3949,17:30,6ALTE,10.408,1.819,0.625,0.044,38.996,0.918,1.112,0.01,4.0,3.0,7,0
16287,3:00,2ALTE,0.0,0.398,0.011,0.008,0.026,0.014,0.995,0.01,1.0,1.0,2,1
25135,11:15,3CLTE,8.993,1.112,0.143,0.034,17.162,0.512,1.182,1.061,5.0,3.0,8,0
29180,8:30,8CLTE,3.739,0.606,0.087,0.017,4.699,0.452,1.051,1.041,3.0,2.0,5,0
16041,7:00,4CLTE,3.133,0.505,0.023,0.01,1.171,0.131,1.031,1.021,2.0,2.0,4,0
18148,1:15,9ALTE,2.587,0.697,0.177,0.02,10.032,0.333,1.045,1.005,3.0,2.0,5,1
23957,20:15,7VLTE,1.617,7.074,1.516,0.062,25.742,1.247,1.122,0.01,4.0,3.0,7,0
5183,11:00,4CLTE,18.088,2.425,0.651,0.072,23.57,0.799,1.273,1.132,5.0,5.0,10,0
1661,12:00,7CLTE,0.303,1.011,0.262,0.039,13.424,0.824,1.152,0.01,5.0,3.0,8,0
35167,11:45,5CLTE,21.423,2.425,0.668,0.081,16.124,0.568,1.364,1.112,6.0,5.0,11,0
20105,4:00,8BLTE,4.378,0.796,0.137,0.015,3.16,0.292,1.025,1.005,3.0,2.0,5,1
5703,2:30,10ALTE,6.169,0.697,0.251,0.02,12.565,0.579,1.045,1.005,3.0,2.0,5,1
20634,3:15,8CLTE,0.404,0.404,0.005,0.006,0.099,0.071,1.031,1.011,2.0,1.0,3,0
24796,12:15,3CLTE,4.08,0.796,0.403,0.026,49.677,1.294,1.035,1.015,3.0,2.0,5,1
6411,19:15,8ALTE,15.323,2.985,0.912,0.073,39.609,1.495,1.274,1.114,5.0,4.0,9,1
25505,20:15,8CLTE,7.562,0.896,0.313,0.043,12.999,0.659,1.104,1.025,4.0,3.0,7,1
11323,17:15,8BLTE,18.997,2.93,0.928,0.094,35.956,1.058,1.354,1.152,5.0,5.0,10,0
23858,11:45,8CLTE,6.972,1.112,0.191,0.025,10.787,0.291,1.091,1.071,4.0,3.0,7,0
36558,2:30,9BLTE,1.415,0.505,0.299,0.023,16.053,0.368,1.031,1.011,2.0,2.0,4,0
11700,21:45,10BLTE,2.388,0.597,0.152,0.026,7.298,0.552,1.025,0.995,3.0,2.0,5,1
344,9:15,4BLTE,17.482,1.718,0.345,0.055,11.378,0.875,1.324,1.112,7.0,5.0,12,0
5041,17:15,7WLTE,1.112,1.617,0.169,0.052,11.855,0.418,1.213,0.01,5.0,3.0,8,0
17215,6:45,10CLTE,2.627,1.516,1.235,0.03,49.715,0.778,1.031,1.011,2.0,2.0,4,0
8592,21:45,6ALTE,5.373,0.697,0.14,0.023,4.64,0.282,1.065,0.01,3.0,2.0,5,1
26399,21:15,8ALTE,14.248,1.617,0.376,0.046,7.711,0.552,1.192,1.132,5.0,4.0,9,0
19480,17:30,7VLTE,1.617,2.93,0.223,0.036,9.478,1.257,1.233,0.01,5.0,3.0,8,0
26218,1:30,1CLTE,19.701,1.692,0.503,0.078,16.977,1.16,1.254,1.124,5.0,4.0,9,1
20511,21:30,7WLTE,1.011,2.021,0.362,0.039,19.915,0.726,1.142,0.01,4.0,3.0,7,0
32645,3:45,8CLTE,0.202,0.404,0.015,0.008,0.251,0.052,1.011,1.011,1.0,1.0,2,0
21005,22:30,6WLTE,1.718,7.276,1.076,0.084,16.45,1.796,1.374,0.01,8.0,4.0,12,0
10369,9:00,9ALTE,12.53,1.314,0.397,0.054,16.63,1.005,1.182,1.061,5.0,4.0,9,0
28201,14:45,8CLTE,11.217,3.032,0.785,0.069,11.317,0.713,1.162,1.051,4.0,3.0,7,0
8866,11:15,7WLTE,3.941,2.526,0.42,0.131,13.839,3.813,1.465,0.01,7.0,4.0,11,0
21032,2:00,7CLTE,0.1,0.498,0.141,0.026,6.329,0.399,1.035,0.01,2.0,2.0,4,1
15846,2:15,8ALTE,12.025,4.749,0.657,0.054,10.912,0.399,1.253,1.091,5.0,4.0,9,0
28724,15:30,8ALTE,17.413,3.383,1.19,0.098,30.658,0.8,1.343,1.085,6.0,4.0,10,1
5331,13:45,3CLTE,21.625,5.053,1.779,0.137,45.919,3.556,1.394,1.172,6.0,5.0,11,0
1509,7:30,6VLTE,0.995,1.692,0.252,0.033,13.805,0.445,1.055,0.01,4.0,3.0,7,1
10593,13:00,9ALTE,2.687,0.498,0.03,0.013,1.666,0.176,1.035,1.005,4.0,2.0,6,1
26691,15:15,8ALTE,18.896,1.819,0.465,0.071,15.101,4.993,1.293,1.172,5.0,5.0,10,0
8492,9:15,3CLTE,2.687,0.697,0.217,0.025,3.536,0.389,1.045,1.005,3.0,2.0,5,1
12346,6:15,7ULTE,0.101,0.808,0.02,0.004,2.975,0.348,1.031,0.01,3.0,2.0,5,0
523,6:45,3BLTE,5.356,1.011,0.31,0.043,37.61,1.198,1.112,1.021,4.0,3.0,7,0
35371,17:15,4CLTE,22.231,3.739,0.897,0.116,17.605,1.006,1.586,1.425,7.0,6.0,13,0
7616,4:30,3CLTE,1.213,0.404,0.053,0.016,4.005,0.328,1.021,1.021,2.0,2.0,4,0
8281,21:00,8ALTE,18.607,3.881,1.194,0.087,24.975,1.458,1.363,1.204,8.0,6.0,14,1
2996,19:00,3BLTE,18.997,8.892,3.072,0.124,38.483,1.165,1.334,1.112,6.0,4.0,10,0
30664,17:30,2ALTE,0.199,0.398,0.046,0.031,0.138,0.063,0.995,0.01,1.0,1.0,2,1
12086,0:30,4ALTE,3.032,0.606,0.083,0.014,5.333,0.314,1.021,1.011,3.0,2.0,5,0
30238,11:00,10CLTE,4.042,0.707,0.218,0.025,6.664,0.627,1.091,1.021,3.0,2.0,5,0
3154,7:00,9BLTE,1.617,0.606,0.449,0.045,12.938,0.577,1.041,1.011,3.0,2.0,5,0
1845,5:15,3CLTE,0.597,0.398,0.008,0.005,0.136,0.076,0.995,0.995,1.0,1.0,2,1
34883,13:30,9BLTE,3.638,0.909,0.397,0.017,9.311,0.465,1.031,1.011,3.0,2.0,5,0
34649,15:00,1BLTE,17.114,2.886,0.985,0.071,49.409,1.481,1.254,1.045,6.0,4.0,10,1
